title,author,genre,description,category,rating,maturity rating,page count
The Invisible Man,"['Len Jenkin', 'Herbert George Wells']",mystery,No description,No category,0,Not rated,No data
Where are the Children?,['Mary Higgins Clark'],mystery,A mother is accused in the gruesome deaths of her two children.,['FICTION'],3.5,NOT_MATURE,302
Deja Dead,['Kathy Reichs'],mystery,"""Fans of TV's CSI: Crime Scene Investigation should be in heaven"" (People) stepping into the world of forensic anthropologist Dr. Temperance Brennan, star of Kathy Reichs's electrifyingly authentic bestsellers. Her life is devoted to justice -- for those she never even knew. In the year since Temperance Brennan left behind a shaky marriage in North Carolina, work has often preempted her weekend plans to explore Quebec. When a female corpse is discovered meticulously dismembered and stashed in trash bags, Tempe detects an alarming pattern -- and she plunges into a harrowing search for a killer. But her investigation is about to place those closest to her -- her best friend and her own daughter -- in mortal danger....",['Fiction'],4,NOT_MATURE,422
"""A"" is for Alibi",['Sue Grafton'],mystery,"Laurence Fife was a slick divorce lawyer and slippery ladies' man. Until someone killed him. The jury believed that it was his pretty young wife Nikki, so they sent her to prison for eight years. Now, Nikki's out on parole and Kinsey Miihone's in for trouble. Nikki hires Kinsey to discover who really killed her husband. But the trail is eight years cold, and at the end is a chilling twist even Kinsey doesn't suspect -- a second eight-year-old murder and a brand new corpse. Copyright © Libri GmbH. All rights reserved.",['Fiction'],3.5,NOT_MATURE,294
A Murder is Announced,['Agatha Christie'],mystery,"A childish practical joke? Or a hoax intended to scare poor Letitia Blacklock? Unable to resist the mysterious invitation, a crowd begins to gather at Little Paddocks at the appointed time when, without warning, the lights go out...",['Detective and mystery stories'],3.5,NOT_MATURE,244
A Time to Kill,['John Grisham'],mystery,Courtroom drama of an inhuman crime.,['Fiction'],4,NOT_MATURE,528
Tyrannosaur Canyon,['Douglas Preston'],mystery,"A moon rock missing for thirty years... Five buckets of blood-soaked sand found in a New Mexico canyon... A scientist with ambition enough to kill... A monk who will redeem the world... A dark agency with a deadly mission... The greatest scientific discovery of all time... What fire bolt from the galactic dark shattered the Earth eons ago, and now hides in that remote cleft in the southwest U.S. known as . . . Tyrannosaur Canyon? The stunning new masterwork from the acclaimed best-selling author, recently hailed by Publishers Weekly as ""better than Crichton.""",['Fiction'],3.5,NOT_MATURE,382
Still Life,['Louise Penny'],mystery,"In a small town in Quebec a women supposedly loved by her community is found in the woods, murdered. Chief Inspector Armand Gamache looks for the small clues which will point him to the killer.",['Fiction'],3.5,NOT_MATURE,324
The Road to Gandolfo,['Robert Ludlum'],mystery,A humourous tale where the premis is to kidnap Pope Francesco I and ransom him off for every catholic in the world.,['Adventure stories'],3.5,NOT_MATURE,312
Ricochet,['Sandra Brown'],mystery,"Detective Sergeant Duncan Hatcher knows he must exercise discretion when investigating a fatal shooting at the home of Judge Cato Laird, but he is both suspicious of and attracted to the Judge's wife.","['Authors, American']",5,NOT_MATURE,401
Plum Lovin',['Janet Evanovich'],mystery,"Receiving simultaneous caches of love letters and hate mail, Connie Rosolli enlists the aid of Lula, Grandma Mazur, and the enigmatic Diesel when she becomes suspicious that her secret admirer and stalker are the same person.",['Fiction'],3,NOT_MATURE,292
Crime and Punishment,['Fyodor Dostoyevsky'],mystery,No description,No category,0,Not rated,No data
Agatha Raisin and the Witch of Wyckhadden,['M. C. Beaton'],mystery,"After being shaved bald during a previous case, Agatha Raisin goes to a seaside resort and enlists the aid of a local witch to grow her hair back, putting her right in the middle of things when the witch is found dead. Reprint.",['Fiction'],3.5,NOT_MATURE,228
"Loves Music, Loves to Dance",['Mary Higgins Clark'],mystery,"When Robin probes the disappearance of her close friend, Marcy, a young woman who answers an ad in a magazine ""personals"" section, she finds herself the prey of a serial killer with a special fetish",['Fiction'],3.5,NOT_MATURE,341
And Then There Were None,['Agatha Christie'],mystery,"One by one, the guests arrived at the mansion on Indian Island, summoned by a mysterious host. And one by one, with terrifying meticulousness, they were stalked by a cunning murderer. Utterly baffling...and yet there was a pattern, concealed in a nursery rhyme hanging over the fireplace.",['Fiction'],4,NOT_MATURE,294
The Night Manager,['John Le Carré'],mystery,"Former British intelligence officer Jonathan Pine attempts to infiltrate the entourage of Roper, a sinister and powerful Englishman responsible for fitting together the pieces for a monumental arms-for-cocaine deal. Reprint.",['Fiction'],3.5,NOT_MATURE,518
A Purple Place for Dying,['John Dann MacDonald'],mystery,"A Purple Place for Dying is the third book in John MacDonald's Travis McGee series, and McGee comes upon his most troubling case yet. McGee is brought to the Midwest by a big, brassy, bossy Blonde who needs help. Mona Yeoman suspects that her husband has pilfered her trust fund, and she wants a divorce. McGee's job is to find out what happened to the money. McGee doesn't particularly like Yeoman, but is tempted to take the case because he needs the money. But before he even has a chance to say yes, Mona is murdered right in front of his eyes, and this changes everything. What makes things even more mysterious is that her body disappears when the police are called to the scene of the crime.",['Detective and mystery stories'],4.5,NOT_MATURE,241
Himself,['Jess Kidd'],mystery,"""""A highly unusual tale set in a highly unusual Irish village full of dark secrets",['Fiction'],4,NOT_MATURE,400
Dashing Through the Snow,"['Mary Higgins Clark', 'Carol Higgins Clark']",mystery,"Novelist Nora Regan Reilly and her PI daughter, along with their close friends Alvirah and Will, track down a missing employee of Conklin's Market who is connected with a $180 million lottery and the winnings.",['Fiction'],3,NOT_MATURE,322
4.50 from Paddington,['Agatha Christie'],mystery,"Elspeth looked out the train window into the train drawing alongside, and was horrified to see a man strangling a woman. The body crumpled, and then the other train drew away. But no one believed Elspeth's story--except her friend Miss Marple.",['Detective and mystery stories'],4,NOT_MATURE,228
Suspicion of Innocence,['Barbara Parker'],mystery,"Edgar Award Finalist: This Miami-set crime thriller by a New York Times-bestselling author is ""an exhilarating debut and] a sizzling page-turner"" (Publishers Weekly). Gail Connor is a fast-rising attorney in a major law firm, about to make partner--until her life is derailed by the discovery of her sister's murdered body and the quick revelation that Gail herself is the prime suspect. Gail must fight for her life as she gets a firsthand look at the dark underside of the legal system. Written by a former prosecutor, Suspicion of Innocence is ""a sun-drenched variation on the work of Scott Turow and Patricia Cornwell"" (Library Journal). Suspicion of Innocence is the 1st book in the Gail Connor and Anthony Quintana series, but you may enjoy reading the series in any order.",['Fiction'],4,NOT_MATURE,0
Murder on the Orient Express,['Agatha Christie'],mystery,"Hercule Poirot observed his fellow passengers on the Orient Express: a Russian princess, an English colonel, an American with a strange glint in his eye and many more. He was looking forward to the journey. But is was not to be. After a restless night, he awoke to find that tragedy had struck.",['Detective and mystery stories'],4,NOT_MATURE,254
